"URL","Versions","Traffic rank","On homepage","Verified at","Country","Region","Language","Title","Description","Copyright","Copyright year","Responsive","schema.org types","Cert organisation","Cert country","Cert state","Cert locality","Cert issuer","Cert protocol","Cert expiry","SPF record","DMARC record","SSL/TLS enabled","Google Analytics ID","Google AdSense ID","Medianet ID","Meta ID","Optimizely ID"
"https://abbetgame.com","","289","Yes","2024-07-04","US","","en ; en-GB ; la","Home | abbetgame.com | Invented by ICONiG","","","","Yes","","","","","","","","","","","Yes","","","","",""
"https://globalehsacademy.com","","288","Yes","2024-07-13","US","","en ; es ; es-ES ; en-US","Academy Client","Global EHS Academy es tu aliado ideal para obtener la constancia de competencia o habilidades laborales DC-3 ante la ante la Secretaría del Trabajo y Previsión Social (STPS), en salud, seguridad y medio ambiente laboral.","","","Yes","","","","","","","","","","","Yes","","","","",""
"https://federados.tirofato.com","","284","Yes","2024-07-11","AD","07","en","Tirofato","","","","No","","","","","","","","","","","Yes","","","","",""
"https://education.mephi.ru","","284","Yes","2024-07-17","RU","","en ; ru","","","","","Yes","","","","","","","","","","","Yes","","","","",""
"https://www.fluentui-blazor.net","","283","Yes","2024-07-02","US","VA","en","FluentUI.Demo.Client","","","","Yes","","","","","","","","","","","Yes","","","","",""
"https://app.storefeeder.com","","281","","2024-07-11","US","","en","","","","","","","","","","","","","","","","Yes","","","","",""
"https://app.supportlocalcanada.com","","280","","2024-07-16","CA","ON","en","","","","","","","","","","","","","","","","Yes","","","","",""
"https://mandarin-medien.hellohq.io","","280","","2024-07-17","","","de ; en","","","","","","","","","","","","","","","","Yes","","","","",""
"https://dashboard.mandena.ir","","279","","2024-04-24","IR","","en","","","","","","","","","","","","","","","","Yes","","","","",""
"https://app.datatalks.se","","278","","2024-07-17","SE","","en ; en-US","Data Talks CDP","","","","Yes","","","","","","","","","","","Yes","","","","",""